,major,early_career_pay,mid_career_pay
428,History,"$47,800","$84,100"
429,Biology,"$47,100","$84,000"
430,Land Surveying,"$51,900","$84,000"
431,Architectural Technology,"$46,700","$83,900"
432,Health Care,"$44,400","$83,900"
433,Integrated Marketing Communications,"$47,000","$83,900"
434,Agriculture,"$47,700","$83,800"
435,Digital Design,"$50,000","$83,600"
436,Marketing & Advertising,"$49,300","$83,600"
437,Organizational Communication,"$46,400","$83,600"
438,Visual Effects & Motion Graphics,"$48,100","$83,400"
439,Public Relations & Communication,"$45,700","$83,300"
440,General & Strategic Management,"$51,200","$83,300"
441,Foreign Languages,"$48,400","$83,100"
442,Retail Merchandising,"$50,900","$83,100"
443,Agribusiness Management,"$47,700","$83,000"
444,Global Business,"$55,800","$83,000"
445,Professional & Technical Writing,"$48,500","$83,000"
446,Computer Art,"$40,400","$82,900"
447,Environmental Management,"$50,200","$82,900"
448,Environmental Studies,"$48,500","$82,900"
449,Journalism,"$45,900","$82,900"
450,Travel Industry Management,"$52,600","$82,900"
451,International Development Studies,"$47,700","$82,800"
452,Natural Sciences,"$45,100","$82,800"
453,Retail & Consumer Science,"$51,800","$82,800"
454,Literature,"$46,800","$82,800"
455,Bachelor in Science Nursing,"$64,000","$82,700"
456,History & Political Science,"$50,600","$82,700"
457,Museum Studies,"$38,900","$82,700"
458,Computer Information Management,"$49,400","$82,600"
459,Dental Hygiene,"$72,700","$82,600"
460,Law,"$54,300","$82,600"
461,Network Technology,"$59,800","$82,600"
462,Media Studies,"$50,700","$82,400"
463,Environmental Geography,"$50,200","$82,300"
464,Law Enforcement,"$46,700","$82,200"
465,Nuclear Medicine,"$60,300","$81,900"
466,Bachelor of Science in Nursing,"$63,800","$81,900"
467,Computer Animation,"$46,800","$81,800"
468,Landscape Architecture,"$51,500","$81,800"
469,Publishing,"$46,300","$81,800"
470,Interior Architecture,"$47,600","$81,500"
471,Diagnostic Medical Sonography,"$64,300","$81,400"
472,Environmental & Natural Resource Economics,"$52,400","$81,400"
473,Public Relations (PR),"$45,600","$81,400"
474,Workforce Education & Development,"$59,900","$81,400"
475,American History (United States),"$50,900","$81,300"
476,Drama,"$47,400","$81,100"
477,Management (MGT),"$47,000","$81,000"
478,Merchandising Management,"$46,800","$80,900"
479,Environmental Biology,"$45,000","$80,800"
480,Accounting & Business,"$52,400","$80,700"
481,Automotive Technology & Service Management,"$48,800","$80,500"
482,Speech Communication,"$46,700","$80,500"
483,Allied Health,"$44,800","$80,400"
484,Agricultural Systems Technology,"$60,500","$80,300"
485,Emergency Management,"$50,900","$80,300"
486,Network Administration,"$48,700","$80,300"
487,Communication Management,"$46,000","$80,200"
488,Historic Preservation,"$43,400","$80,000"
489,Broadcast Journalism,"$42,900","$79,900"
490,Broadcast & Cinematic Arts,"$42,800","$79,900"
491,Automotive Technology,"$48,100","$79,800"
492,Business Management & Administration,"$51,400","$79,800"
493,Agricultural Business,"$52,700","$79,700"
494,Technology Management,"$56,400","$79,700"
495,Global Studies,"$51,200","$79,600"
496,Professional Studies,"$42,800","$79,600"
497,Interpersonal Communications,"$45,000","$79,500"
498,Forestry,"$45,900","$79,400"
499,Homeland Security,"$49,200","$79,400"
500,Ancient History,"$46,000","$79,300"
501,Botany,"$42,600","$79,300"
502,Geography,"$49,700","$79,300"
503,Computer Aided Design (CAD),"$48,700","$79,200"
504,Nutrition Science,"$49,500","$79,200"
505,Acting,"$44,200","$79,100"
506,Public Management,"$50,200","$79,100"
507,Nuclear Medicine Technology,"$61,700","$79,000"
508,Apparel & Textile Manufacture,"$48,300","$78,900"
509,English Language & Literature,"$46,400","$78,900"
510,Urban Studies,"$51,500","$78,900"
511,Mass Communication,"$44,800","$78,800"
512,Forestry Management,"$48,600","$78,700"
513,Radio/Television & Film Production,"$45,700","$78,700"
514,Hospital Management,"$53,200","$78,600"
515,Human Resources Management (HRM),"$47,900","$78,500"
516,Marine Science,"$46,100","$78,400"
517,American Sign Language Interpreting,"$43,100","$78,300"
518,English & History,"$45,700","$78,300"
519,English Language,"$44,600","$78,300"
520,Cytotechnology,"$61,900","$78,200"
521,Geosciences,"$48,700","$78,200"
522,Hospital Administration,"$51,200","$78,200"
523,Film Production,"$44,600","$78,100"
524,Marine Biology,"$43,300","$78,100"
525,Zoology,"$42,100","$77,900"
526,Communication Design,"$51,700","$77,800"
527,Leadership,"$47,200","$77,500"
528,Music Technology,"$44,800","$77,500"
529,Musicology,"$40,000","$77,500"
530,Technical Writing,"$53,300","$77,500"
531,Agricultural Communication,"$44,600","$77,400"
532,Logistics Management,"$56,300","$77,400"
533,German Language & Literature,"$49,400","$77,300"
534,Administration,"$44,600","$77,100"
535,Apparel Merchandising,"$47,600","$77,100"
536,Computer Aided Drafting & Design (CADD),"$49,100","$77,100"
537,Organizational Leadership & Supervision,"$49,600","$77,100"
538,Printing Technology,"$46,200","$77,100"
539,Spanish Language,"$47,700","$77,100"
540,Multimedia,"$44,700","$77,000"
541,Spanish Language Teacher Education,"$45,500","$76,900"
542,Public Administration,"$46,700","$76,900"
543,Human Nutrition,"$48,600","$76,900"
544,Audio Engineering,"$48,300","$76,800"
545,Graphics Technology & Management,"$39,500","$76,800"
546,Physical Anthropology,"$52,900","$76,800"
547,Organizational Leadership,"$50,500","$76,700"
548,Environmental Health Science,"$53,800","$76,600"
549,Health Sciences,"$44,600","$76,600"
550,Journalism & Electronic Media,"$45,200","$76,500"
551,Religious Studies,"$43,900","$76,300"
552,Art History,"$46,600","$76,200"
553,Radiologic Science,"$57,600","$76,200"
554,3D Animation,"$51,800","$76,000"
555,Culture Studies,"$48,100","$75,900"
556,Merchandising,"$53,100","$75,900"
557,Administrative Management,"$52,700","$75,800"
558,Human Resources (HR),"$47,300","$75,800"
559,Liberal Arts,"$44,500","$75,800"
560,Adult Education & Training,"$48,700","$75,600"
561,Fashion Merchandising,"$46,900","$75,600"
562,Health & Fitness,"$39,800","$75,600"
563,Natural Resources,"$47,400","$75,500"
564,Organizational Management,"$48,800","$75,500"
565,Modern Languages,"$50,300","$75,400"
566,Natural Resource Management,"$46,500","$75,400"
567,Retail Management,"$50,100","$75,400"
568,Sociology & Anthropology,"$44,500","$75,400"
569,Creative Writing,"$45,300","$75,200"
570,Criminal Justice Administration,"$45,700","$75,100"
571,Ethnic Studies,"$47,500","$74,900"
572,Philosophy & Religious Studies,"$49,300","$74,900"
573,Radiology,"$54,800","$74,900"
574,Medical Laboratory Technology,"$56,900","$74,400"
575,Sports Management,"$45,400","$74,400"
576,Anthropology & English,"$48,000","$74,300"
577,Broadcast Communication,"$40,000","$74,300"
578,Criminology,"$44,700","$74,300"
579,Earth Science,"$50,000","$74,300"
580,Media & Technology,"$45,200","$74,300"
581,Visual Communications,"$45,400","$74,300"
582,Advertising & Graphic Design,"$46,800","$74,200"
583,Applied Behavior Analysis,"$38,700","$74,200"
584,Psychology,"$44,700","$74,200"
585,Applied Management,"$45,500","$74,100"
586,Hotel & Restaurant Management,"$47,300","$74,100"
587,Anthropology,"$46,400","$73,900"
588,Arts Management,"$39,400","$73,800"
589,Diagnostic Medical Imaging,"$60,600","$73,800"
590,Communication Arts,"$42,400","$73,600"
591,Middle Eastern Studies,"$57,100","$73,600"
592,Radiologic Technology,"$55,200","$73,600"
593,Painting & Printmaking,"$34,700","$73,600"
594,Cardiopulmonary Science,"$48,900","$73,400"
595,Human Relations,"$45,000","$73,400"
596,Humanities,"$48,500","$73,200"
597,Health Care Administration,"$45,800","$73,100"
598,Health Care Management,"$46,700","$73,000"
599,Life Sciences,"$53,100","$73,000"
600,Ecology,"$46,400","$72,900"
601,Media Arts,"$46,500","$72,900"
602,Respiratory Care,"$54,800","$72,800"
603,Art & Design,"$45,100","$72,700"
604,Health Information Management,"$49,000","$72,700"
605,Hospitality Management,"$46,400","$72,700"
606,Health Teacher Education,"$37,900","$72,600"
607,Sports Medicine,"$50,100","$72,600"
608,Multimedia & Web Design,"$50,200","$72,600"
609,Sociology,"$46,200","$72,500"
610,Liberal Studies,"$44,300","$72,400"
611,Interior Design,"$45,100","$72,300"
612,Medical Laboratory Science,"$55,600","$72,300"
613,Secondary Education,"$44,600","$72,300"
614,Child Psychology,"$38,900","$72,200"
615,Exercise Physiology,"$44,100","$72,200"
616,Radiography,"$55,300","$72,200"
